"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","link"
"961","1hr Report : 00:00:35 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DGB, $ZEC, $DASH, $XCP, $OMG https://t.co/64fGZq9AXu",FALSE,4,NA,2017-08-21 00:00:36,FALSE,NA,"899420937874964481",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA,"https://t.co/64fGZq9AXu"
"960","1hr Report : 01:00:10 UTC Top 10 Mentions
$BTC, $ETH, $DGB, $DASH, $LTC, $ZEC, $BCH, $NEO, $BAT, $GAME https://t.co/TRiWHxRk0h",FALSE,4,NA,2017-08-21 01:00:11,FALSE,NA,"899435930888613888",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA,"https://t.co/TRiWHxRk0h"
"959","1hr Report : 02:00:09 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $DGB, $NEO, $BCH, $DASH, $ZEC, $ETC, $BAT https://t.co/qnO5HMHqLH",FALSE,1,NA,2017-08-21 02:00:10,FALSE,NA,"899451027145068544",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA,"https://t.co/qnO5HMHqLH"
"958","1hr Report : 03:00:10 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $BCH, $NEO, $DGB, $DASH, $ZEC, $ETC, $BAT https://t.co/j4Wgmm6Chu",FALSE,2,NA,2017-08-21 03:00:11,FALSE,NA,"899466131378929665",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",10,FALSE,FALSE,NA,NA,"https://t.co/j4Wgmm6Chu"
"957","1hr Report : 04:00:12 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $BCH, $NEO, $DASH, $DGB, $ZEC, $ETC, $BAT https://t.co/CTAUXyQ0mw",FALSE,0,NA,2017-08-21 04:00:13,FALSE,NA,"899481238435704832",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA,"https://t.co/CTAUXyQ0mw"
"956","1hr Report : 06:00:09 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $DGB, $BCH, $LTC, $DASH, $ARK, $ETC, $ZEC https://t.co/HSHh0oRuRK",FALSE,1,NA,2017-08-21 06:00:10,FALSE,NA,"899511423306526720",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA,"https://t.co/HSHh0oRuRK"
"955","1hr Report : 07:00:10 UTC Top 10 Mentions
$ETH, $BTC, $NEO, $BCH, $LTC, $DGB, $ETC, $DASH, $ZEC, $BNT https://t.co/hXlkZmMWWj",FALSE,2,NA,2017-08-21 07:00:10,FALSE,NA,"899526525439139840",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",8,FALSE,FALSE,NA,NA,"https://t.co/hXlkZmMWWj"
"954","1hr Report : 08:00:11 UTC Top 10 Mentions
$ETH, $BTC, $NEO, $LTC, $BCH, $DGB, $ETC, $DASH, $ZEC, $XMR https://t.co/U8vhHKgvxY",FALSE,3,NA,2017-08-21 08:00:12,FALSE,NA,"899541630444875777",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA,"https://t.co/U8vhHKgvxY"
"953","1hr Report : 09:00:12 UTC Top 10 Mentions
$ETH, $BTC, $XMR, $NEO, $LTC, $BCH, $ZEC, $ETC, $DGB, $DASH https://t.co/QrPvU3Rulw",FALSE,2,NA,2017-08-21 09:00:13,FALSE,NA,"899556736163557377",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA,"https://t.co/QrPvU3Rulw"
"952","1hr Report : 10:00:14 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $BCH, $DGB, $DASH, $ETC https://t.co/vkdEiRKvw1",FALSE,0,NA,2017-08-21 10:00:15,FALSE,NA,"899571843471953920",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA,"https://t.co/vkdEiRKvw1"
"951","1hr Report : 11:00:16 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $LTC, $NEO, $ZEC, $ETC, $DGB, $DASH, $BCH https://t.co/e9vW7Rqmd1",FALSE,1,NA,2017-08-21 11:00:17,FALSE,NA,"899586952890109952",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA,"https://t.co/e9vW7Rqmd1"
"950","1hr Report : 12:00:17 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $XCP, $DASH, $BCH https://t.co/tnHFInTlDZ",FALSE,1,NA,2017-08-21 12:00:18,FALSE,NA,"899602055538585601",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA,"https://t.co/tnHFInTlDZ"
"949","1hr Report : 13:00:19 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $XCP, $DASH, $DGB https://t.co/yDJbj3z34p",FALSE,1,NA,2017-08-21 13:00:20,FALSE,NA,"899617161920094208",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA,"https://t.co/yDJbj3z34p"
